Device,Voltage,Percentage,Timestamp
MAX17043,3.649,121.391,2022-06-16 18:08:47.649701+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:48.206828+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:48.670933+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:49.247063+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:49.693165+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:50.268295+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:50.716866+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:51.288997+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:51.731619+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:52.303749+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:52.749851+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:53.322981+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:53.771081+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:54.347212+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:54.793314+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:55.369446+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:55.813148+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:56.384276+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:56.830375+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:57.403504+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:57.850606+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:58.423736+00:00
MAX17043,3.649,120.758,2022-06-16 18:08:58.866835+00:00
MAX17043,3.649,120.758,2022-06-16 18:08:59.438966+00:00
MAX17043,3.649,120.758,2022-06-16 18:08:59.881801+00:00
MAX17043,3.649,120.758,2022-06-16 18:09:00.451930+00:00
MAX17043,3.649,120.758,2022-06-16 18:09:00.898031+00:00
MAX17043,3.649,120.758,2022-06-16 18:09:01.474162+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:01.921262+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:02.493901+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:02.937001+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:03.510132+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:03.958232+00:00
MAX17043,3.649,120.598,2022-06-16 18:09:04.533361+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:04.979463+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:05.555596+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:06.000696+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:06.576827+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:07.024929+00:00
MAX17043,3.649,120.441,2022-06-16 18:09:07.600060+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:08.044203+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:08.601331+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:09.062437+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:09.636565+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:10.084666+00:00
MAX17043,3.649,120.281,2022-06-16 18:09:10.658796+00:00
MAX17043,3.649,120.125,2022-06-16 18:09:11.104896+00:00
MAX17043,3.649,120.125,2022-06-16 18:09:11.681026+00:00
MAX17043,3.649,120.125,2022-06-16 18:09:12.125125+00:00
MAX17043,3.649,120.125,2022-06-16 18:09:12.697255+00:00
MAX17043,3.744,120.125,2022-06-16 18:09:13.136360+00:00
MAX17043,3.832,120.125,2022-06-16 18:09:13.711489+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:14.159593+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:14.734719+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:15.181820+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:15.756953+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:16.200922+00:00
MAX17043,3.834,119.965,2022-06-16 18:09:16.776054+00:00
MAX17043,3.835,119.965,2022-06-16 18:09:17.223097+00:00
MAX17043,3.835,119.965,2022-06-16 18:09:17.797226+00:00
MAX17043,3.835,119.809,2022-06-16 18:09:18.245326+00:00
MAX17043,3.835,119.809,2022-06-16 18:09:18.821457+00:00
MAX17043,3.835,119.809,2022-06-16 18:09:19.267557+00:00
MAX17043,3.836,119.809,2022-06-16 18:09:19.840685+00:00
MAX17043,3.836,119.809,2022-06-16 18:09:20.286137+00:00
MAX17043,3.836,119.809,2022-06-16 18:09:20.860268+00:00
MAX17043,3.836,119.809,2022-06-16 18:09:21.308370+00:00
MAX17043,3.836,119.809,2022-06-16 18:09:21.883499+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:22.331600+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:22.904731+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:23.351833+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:23.926968+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:24.370192+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:24.944325+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:25.392428+00:00
MAX17043,3.836,119.648,2022-06-16 18:09:25.968557+00:00
MAX17043,3.836,119.492,2022-06-16 18:09:26.416657+00:00
MAX17043,3.836,119.492,2022-06-16 18:09:26.992788+00:00
MAX17043,3.836,119.492,2022-06-16 18:09:27.440891+00:00
MAX17043,3.838,119.492,2022-06-16 18:09:28.016020+00:00
MAX17043,3.838,119.492,2022-06-16 18:09:28.463120+00:00
MAX17043,3.838,119.492,2022-06-16 18:09:29.039250+00:00
MAX17043,3.838,119.492,2022-06-16 18:09:29.485351+00:00
MAX17043,3.838,119.492,2022-06-16 18:09:30.058746+00:00
MAX17043,3.838,119.332,2022-06-16 18:09:30.509978+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:31.076635+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:31.518876+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:32.091125+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:32.533503+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:33.100922+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:33.546905+00:00
MAX17043,3.839,119.332,2022-06-16 18:09:34.117373+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:34.555584+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:35.113402+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:35.580948+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:36.139131+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:36.604238+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:37.167365+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:37.619980+00:00
MAX17043,3.839,119.176,2022-06-16 18:09:38.181173+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:38.647625+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:39.209530+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:39.678462+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:40.235362+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:40.703403+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:41.264273+00:00
MAX17043,3.839,119.016,2022-06-16 18:09:41.732454+00:00
MAX17043,3.840,119.016,2022-06-16 18:09:42.291589+00:00
MAX17043,3.840,119.016,2022-06-16 18:09:42.755739+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:43.299473+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:43.777560+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:44.338218+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:44.806911+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:45.363880+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:45.830212+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:46.392477+00:00
MAX17043,3.840,118.859,2022-06-16 18:09:46.846329+00:00
MAX17043,3.840,118.699,2022-06-16 18:09:47.404971+00:00
MAX17043,3.840,118.699,2022-06-16 18:09:47.873468+00:00
MAX17043,3.840,118.699,2022-06-16 18:09:48.435806+00:00
MAX17043,3.841,118.699,2022-06-16 18:09:48.887960+00:00
MAX17043,3.841,118.699,2022-06-16 18:09:49.453809+00:00
MAX17043,3.841,118.699,2022-06-16 18:09:49.892244+00:00
MAX17043,3.841,118.699,2022-06-16 18:09:50.450099+00:00
MAX17043,3.841,118.699,2022-06-16 18:09:50.905626+00:00
