Device,Temperature (C),Humidity,Timestamp
SHTC3,23.410,75.100,2022-06-16 18:07:19.360785+00:00
SHTC3,23.430,75.090,2022-06-16 18:07:19.866967+00:00
SHTC3,23.440,75.080,2022-06-16 18:07:20.382903+00:00
SHTC3,23.430,75.100,2022-06-16 18:07:20.898327+00:00
SHTC3,23.430,75.060,2022-06-16 18:07:21.398377+00:00
SHTC3,23.390,75.090,2022-06-16 18:07:21.911149+00:00
SHTC3,23.420,75.100,2022-06-16 18:07:22.423337+00:00
SHTC3,23.430,75.100,2022-06-16 18:07:22.937955+00:00
SHTC3,23.430,75.100,2022-06-16 18:07:23.437435+00:00
SHTC3,23.410,75.080,2022-06-16 18:07:23.949147+00:00
SHTC3,23.420,75.090,2022-06-16 18:07:24.465722+00:00
SHTC3,23.440,75.090,2022-06-16 18:07:24.979777+00:00
SHTC3,23.440,75.050,2022-06-16 18:07:25.492369+00:00
SHTC3,23.440,75.070,2022-06-16 18:07:26.008799+00:00
SHTC3,23.400,75.090,2022-06-16 18:07:26.517407+00:00
SHTC3,23.420,75.070,2022-06-16 18:07:27.031443+00:00
SHTC3,23.410,75.080,2022-06-16 18:07:27.544330+00:00
SHTC3,23.400,75.060,2022-06-16 18:07:28.054442+00:00
SHTC3,23.420,75.080,2022-06-16 18:07:28.567433+00:00
SHTC3,23.400,75.070,2022-06-16 18:07:29.079799+00:00
SHTC3,23.420,75.050,2022-06-16 18:07:29.590983+00:00
SHTC3,23.450,75.060,2022-06-16 18:07:30.108293+00:00
SHTC3,23.400,75.050,2022-06-16 18:07:30.621769+00:00
SHTC3,23.410,75.040,2022-06-16 18:07:31.134213+00:00
SHTC3,23.410,75.050,2022-06-16 18:07:31.647330+00:00
SHTC3,23.420,75.060,2022-06-16 18:07:32.148955+00:00
SHTC3,23.390,75.050,2022-06-16 18:07:32.653265+00:00
SHTC3,23.410,75.050,2022-06-16 18:07:33.166460+00:00
SHTC3,23.410,75.030,2022-06-16 18:07:33.682911+00:00
SHTC3,23.430,75.060,2022-06-16 18:07:34.196737+00:00
SHTC3,23.420,75.010,2022-06-16 18:07:34.709717+00:00
SHTC3,23.430,75.020,2022-06-16 18:07:35.220299+00:00
SHTC3,23.420,75.020,2022-06-16 18:07:35.734071+00:00
SHTC3,23.410,75.020,2022-06-16 18:07:36.246680+00:00
SHTC3,23.460,75.010,2022-06-16 18:07:36.746867+00:00
