Device,Current (mA),Timestamp
INA219,11.600,2022-06-16 18:09:46.830822+00:00
INA219,11.900,2022-06-16 18:09:47.389403+00:00
INA219,11.700,2022-06-16 18:09:47.857465+00:00
INA219,11.700,2022-06-16 18:09:48.419963+00:00
INA219,11.700,2022-06-16 18:09:48.871582+00:00
INA219,11.800,2022-06-16 18:09:49.437769+00:00
INA219,12.000,2022-06-16 18:09:49.877060+00:00
INA219,11.500,2022-06-16 18:09:50.434674+00:00
INA219,11.900,2022-06-16 18:09:50.890160+00:00
INA219,11.700,2022-06-16 18:09:51.449649+00:00
INA219,12.000,2022-06-16 18:09:51.916215+00:00
INA219,11.900,2022-06-16 18:09:52.476530+00:00
INA219,11.600,2022-06-16 18:09:52.945810+00:00
INA219,11.700,2022-06-16 18:09:53.506456+00:00
INA219,11.900,2022-06-16 18:09:53.969953+00:00
INA219,11.600,2022-06-16 18:09:54.532285+00:00
INA219,11.700,2022-06-16 18:09:54.999954+00:00
INA219,11.700,2022-06-16 18:09:55.555232+00:00
INA219,11.700,2022-06-16 18:09:56.022187+00:00
INA219,11.700,2022-06-16 18:09:56.581965+00:00
INA219,11.800,2022-06-16 18:09:57.044882+00:00
INA219,11.700,2022-06-16 18:09:57.598504+00:00
INA219,11.700,2022-06-16 18:09:58.066736+00:00
INA219,11.800,2022-06-16 18:09:58.628296+00:00
INA219,11.800,2022-06-16 18:09:59.095268+00:00
INA219,11.600,2022-06-16 18:09:59.654936+00:00
INA219,11.700,2022-06-16 18:10:00.122307+00:00
INA219,11.800,2022-06-16 18:10:00.677730+00:00
INA219,11.700,2022-06-16 18:10:01.145235+00:00
INA219,11.700,2022-06-16 18:10:01.703471+00:00
INA219,11.800,2022-06-16 18:10:02.168104+00:00
INA219,12.100,2022-06-16 18:10:02.729326+00:00
INA219,11.600,2022-06-16 18:10:03.196838+00:00
INA219,11.700,2022-06-16 18:10:03.764697+00:00
INA219,11.900,2022-06-16 18:10:04.215149+00:00
INA219,11.700,2022-06-16 18:10:04.779124+00:00
INA219,11.800,2022-06-16 18:10:05.229037+00:00
INA219,11.700,2022-06-16 18:10:05.791326+00:00
INA219,12.100,2022-06-16 18:10:06.259366+00:00
INA219,11.900,2022-06-16 18:10:06.823544+00:00
INA219,11.800,2022-06-16 18:10:07.261729+00:00
INA219,11.800,2022-06-16 18:10:07.813682+00:00
INA219,11.800,2022-06-16 18:10:08.274862+00:00
INA219,11.800,2022-06-16 18:10:08.834863+00:00
INA219,11.700,2022-06-16 18:10:09.298615+00:00
INA219,11.900,2022-06-16 18:10:09.861719+00:00
INA219,11.800,2022-06-16 18:10:10.310810+00:00
INA219,11.800,2022-06-16 18:10:10.873193+00:00
INA219,11.800,2022-06-16 18:10:11.330104+00:00
INA219,11.600,2022-06-16 18:10:11.887002+00:00
INA219,12.000,2022-06-16 18:10:12.352816+00:00
INA219,11.000,2022-06-16 18:10:12.911218+00:00
INA219,11.200,2022-06-16 18:10:13.376573+00:00
INA219,11.300,2022-06-16 18:10:13.938824+00:00
INA219,11.200,2022-06-16 18:10:14.405753+00:00
INA219,11.300,2022-06-16 18:10:14.971046+00:00
INA219,11.000,2022-06-16 18:10:15.409731+00:00
INA219,11.300,2022-06-16 18:10:15.973786+00:00
INA219,11.300,2022-06-16 18:10:16.427817+00:00
INA219,11.300,2022-06-16 18:10:16.985249+00:00
INA219,10.800,2022-06-16 18:10:17.453843+00:00
INA219,11.300,2022-06-16 18:10:18.009541+00:00
INA219,11.200,2022-06-16 18:10:18.478099+00:00
INA219,10.800,2022-06-16 18:10:19.039659+00:00
INA219,11.300,2022-06-16 18:10:19.508329+00:00
INA219,11.400,2022-06-16 18:10:20.068817+00:00
INA219,11.300,2022-06-16 18:10:20.536028+00:00
INA219,10.900,2022-06-16 18:10:21.098829+00:00
INA219,11.300,2022-06-16 18:10:21.550930+00:00
INA219,11.000,2022-06-16 18:10:22.124443+00:00
INA219,11.300,2022-06-16 18:10:22.570507+00:00
INA219,11.200,2022-06-16 18:10:23.140635+00:00
INA219,11.200,2022-06-16 18:10:23.584427+00:00
INA219,11.200,2022-06-16 18:10:24.141032+00:00
INA219,10.900,2022-06-16 18:10:24.606995+00:00
INA219,11.300,2022-06-16 18:10:25.164126+00:00
INA219,11.000,2022-06-16 18:10:25.629470+00:00
